Symbol,Index,Confidence,Company Name,Compnay Description,Category,Sub-category,Country
ABV,,100,,,Alcohol,,
IGT,,100,,,Gambling,,
REMYY,,100,8. Rémy Cointreau SA,,Alcohol,,
ATK,,100,". Olin manufactures and sells ammunition and powder, while Alliant Technologies manufacturers and sells powder, ammunition and reloading equipment.",,Firearms and Weapons,,
BF,,100, owns Finlandia and Jack Daniels. Diageo ,,Alcohol,,
BF.A,,100,3. Brown Forman Corporation ,,Alcohol,,
BF.B,SP500,100,3. Brown Forman Corporation ,,Alcohol,,
BTI,,100,British American Tobacco p.l.c. is home to Lucky Strike and Dunhill. Imperial Tobacco ,,Tobacco,,
BUD,,100,Anheuser-Busch InBev SA/NV,,Alcohol,,
BYD,,100,Boyd Gaming Corporation,,Gambling,,
CNTY,,100,Century Casinos Inc. (CNTY),,Gambling,,
DEO,,100,"Diageo owns and distributes such well-known brands as Johnnie Walker, Smirnoff Vodka, Guinness and Captain Morgan",,Alcohol,,
FO,,100, is known for Jim Beam and is the American distributor of Absolut Vodka. Brown-Forman ,,Alcohol,,
GDEN,,100,Golden Entertainment Inc. (GDEN),,Gambling,,
ISLE,,100,,,Gambling,,
ITYBY,,100, is the largest seller of cigars and fine-cut tobaccos. Altria ,,Tobacco,,
KAVL,,100,"Kaival Brands Innovations Group, Inc.",,Tobacco,,
LVS,SP500,100,Las Vegas Sands Corp.,,"Gambling, Casino, etc.",,
MC,,100,5. LVMH Moet Hennessy Louis Vuitton SE ,,Alcohol,,
MGM,SP500,100,MGM Resorts International,,Gambling,,
MO,SP500,100,"Altria Group, Inc.",,Tobacco,,
OLN,,100, and Alliant Technologies ,,Firearms and Weapons,,
PENN,SP500,100,"Penn National Gaming, Inc.",,Gambling,,
PM,SP500,100,"Philip Morris International Inc. is known for its Marlboro, L&M, Chesterfield and Parliament brands. British Tobacco Company ",,Tobacco,,
RAI,,100," is best known for its Camel, Kool and Pall Mall cigarette brands. Philip Morris International ",,Tobacco,,
RGR,,100, is the leader for semi-automatic weapons and pistols. There are only two main ammunition manufacturers in the United States: Olin ,,Firearms and Weapons,,
RI,,100,4. Pernod Ricard SA ,,Alcohol,,
RICK,,100,"RCI Hospitality Holdings, Inc.",,Pornography,,
RLX,,100,RLX Technology Inc.,,Tobacco,,
RRR,,100,"Red Rock Resorts, Inc.",,,,
SAM,,100,", maker of Sam Adams Beer, and Molson Coors ",,Alcohol,,
STZ,SP500,100,2. Constellation Brands ,,Alcohol,,
SWHC,,100, is the leading handgun producer in the United States. Sturm and Reuger Company ,,Firearms and Weapons,,
TAP,SP500,100,Molson Coors Beverage Company are two of the remaining independent beer makers and distributors. Fortune Brands ,,Alcohol,,
TPB,,100,"Turning Point Brands, Inc.",,Tobacco,,
TSN,SP500,100,Tyson foods,,Pork,,
UVV,,100,Universal Corporation,,Tobacco,,
VBVH,,100,Bluegreen Vacations Holding Corp. (BVH),,Gambling,,
VGR,,100,Vector Group Ltd.,,Tobacco,,
VICI,,100,Casino properties,,Gambling,,
WVVI,,100,7. Willamette Valley Vineyard ,,Alcohol,,
WYNN,SP500,100,"Wynn Resorts, Limited expanded from Las Vegas to Macau. The Las Vegas Sands ",,Gambling,,
BALY,,100,Bally's Corporation,,Resorts & Casinos,,
BVH,,100,Bluegreen Vacations Holding Corporation,,Resorts & Casinos,,
BYD,,100,Boyd Gaming Corporation,,Resorts & Casinos,,
CNTY,,100,"Century Casinos, Inc.",,Resorts & Casinos,,
CZR,SP500,100,"Caesars Entertainment, Inc.",,Resorts & Casinos,,
FLL,,100,"Full House Resorts, Inc.",,Resorts & Casinos,,
GDEN,,100,"Golden Entertainment, Inc.",,Resorts & Casinos,,
HGV,,100,Hilton Grand Vacations Inc.,,Resorts & Casinos,,
LVS,SP500,100,Las Vegas Sands Corp.,,Resorts & Casinos,,
MCRI,,100,"Monarch Casino & Resort, Inc.",,Resorts & Casinos,,
MGM,SP500,100,MGM Resorts International,,Resorts & Casinos,,
MLCO,,100,Melco Resorts & Entertainment Limited,,Resorts & Casinos,,
MSC,,100,Studio City International Holdings Limited,,Resorts & Casinos,,
MTN,,100,"Vail Resorts, Inc.",,Resorts & Casinos,,
PENN,SP500,100,"Penn National Gaming, Inc.",,Resorts & Casinos,,
PLYA,,100,Playa Hotels & Resorts N.V.,,Resorts & Casinos,,
RRR,,100,"Red Rock Resorts, Inc.",,Resorts & Casinos,,
VAC,,100,Marriott Vacations Worldwide Corporation,,Resorts & Casinos,,
WYNN,SP500,100,"Wynn Resorts, Limited",,Resorts & Casinos,,
ASPS,,50,Altisource Portfolio Solutions S.A.,,Financial,Mortgage Finance,
ATAX,,50,"America First Multifamily Investors, L.P.",,Financial,Mortgage Finance,
CNF,,50,CNFinance Holdings Limited,,Financial,Mortgage Finance,
COOP,,50,Mr. Cooper Group Inc.,,Financial,Mortgage Finance,
ECPG,,50,"Encore Capital Group, Inc.",,Financial,Mortgage Finance,
EFC,,50,Ellington Financial Inc.,,Financial,Mortgage Finance,
ESNT,,50,Essent Group Ltd.,,Financial,Mortgage Finance,
GHLD,,50,Guild Holdings Company,,Financial,Mortgage Finance,
HMPT,,50,Home Point Capital Inc.,,Financial,Mortgage Finance,
HTGC,,50,"Hercules Capital, Inc.",,Financial,Mortgage Finance,
IMH,,50,"Impac Mortgage Holdings, Inc.",,Financial,Mortgage Finance,
IOR,,50,"Income Opportunity Realty Investors, Inc.",,Financial,Mortgage Finance,
LDI,,50,"loanDepot, Inc.",,Financial,Mortgage Finance,
MRCC,,50,Monroe Capital Corporation,,Financial,Mortgage Finance,
OCN,,50,Ocwen Financial Corporation,,Financial,Mortgage Finance,
PFSI,,50,"PennyMac Financial Services, Inc.",,Financial,Mortgage Finance,
RKT,,50,"Rocket Companies, Inc.",,Financial,Mortgage Finance,
TREE,,50,"LendingTree, Inc.",,Financial,Mortgage Finance,
UWMC,,50,UWM Holdings Corporation,,Financial,Mortgage Finance,
VEL,,50,"Velocity Financial, Inc.",,Financial,Mortgage Finance,
WD,,50,"Walker & Dunlop, Inc.",,Financial,Mortgage Finance,
BAC,SP500,50,Bank of America Corporation,,Financial,Banks - Diversified,
BBVA,,50,"Banco Bilbao Vizcaya Argentaria, S.A.",,Financial,Banks - Diversified,
BCS,,50,Barclays PLC,,Financial,Banks - Diversified,
BMO,,50,Bank of Montreal,,Financial,Banks - Diversified,
BNS,,50,The Bank of Nova Scotia,,Financial,Banks - Diversified,
C,SP500,50,Citigroup Inc.,,Financial,Banks - Diversified,
CM,,50,Canadian Imperial Bank of Commerce,,Financial,Banks - Diversified,
CS,,50,Credit Suisse Group AG,,Financial,Banks - Diversified,
